config_id,segment,cost_case,trades,trade_win_rate,profit_factor,mean_return,total_return,max_drawdown,active_days,positive_active_day_rate,calendar_days_covered,positive_calendar_day_rate,active_weeks,positive_active_week_rate,active_months,positive_active_month_rate,first_exit,last_exit
90560d58111e56,oos,stress,26,0.5,0.9424025250591158,-0.0002757492114696744,-0.008370983455105674,-0.052969328578949315,25,0.48,334,0.03592814371257485,20,0.45,11,0.36363636363636365,2025-08-07T01:00:00+00:00,2026-07-06T03:30:00+00:00
a565c95ea659ad,full,base,131,0.5190839694656488,1.2637456373040683,0.001752910598233835,0.2361603324114454,-0.15254086620805485,131,0.5190839694656488,2349,0.02894848871860366,110,0.5636363636363636,64,0.578125,2020-02-10T07:00:00+00:00,2026-07-16T15:00:00+00:00
a565c95ea659ad,pre,base,113,0.5132743362831859,1.2505707783737718,0.0017466357645050802,0.19848634517589225,-0.15254086620805485,113,0.5132743362831859,1930,0.03005181347150259,93,0.5591397849462365,53,0.5471698113207547,2020-02-10T07:00:00+00:00,2025-05-23T13:00:00+00:00
a565c95ea659ad,oos,base,18,0.5555555555555556,1.3888169426016719,0.0017923026099754616,0.03143464035881327,-0.02612922485491831,18,0.5555555555555556,350,0.02857142857142857,17,0.5882352941176471,11,0.7272727272727273,2025-08-01T00:00:00+00:00,2026-07-16T15:00:00+00:00
a565c95ea659ad,oos,stress,18,0.5555555555555556,1.1151675528144338,0.0005923026099754619,0.009417399767718937,-0.03338681290979428,18,0.5555555555555556,350,0.02857142857142857,17,0.5294117647058824,11,0.7272727272727273,2025-08-01T00:00:00+00:00,2026-07-16T15:00:00+00:00
ba0c5d34a6d53f,full,base,226,0.4557522123893805,0.9524591568359717,-0.00026053495122324723,-0.07396478553859376,-0.29300034416252985,221,0.46153846153846156,2374,0.04296545914069082,152,0.46710526315789475,73,0.4931506849315068,2020-01-06T23:30:00+00:00,2026-07-06T03:30:00+00:00
ba0c5d34a6d53f,pre,base,202,0.44554455445544555,0.9296779702419397,-0.00040187863604026764,-0.09349484511422979,-0.29300034416252985,198,0.45454545454545453,2017,0.04462072384729797,132,0.4621212121212121,62,0.5,2020-01-06T23:30:00+00:00,2025-07-14T04:00:00+00:00
ba0c5d34a6d53f,oos,base,24,0.5416666666666666,1.265028032972627,0.0009291077293200079,0.021544344751240896,-0.03923441437921549,23,0.5217391304347826,335,0.03582089552238806,20,0.5,11,0.45454545454545453,2025-08-06T22:00:00+00:00,2026-07-06T03:30:00+00:00
ba0c5d34a6d53f,oos,stress,24,0.4583333333333333,0.9342560415269595,-0.0002708922706799917,-0.0074494329430322415,-0.051886906249519416,23,0.43478260869565216,335,0.029850746268656716,20,0.45,11,0.45454545454545453,2025-08-06T22:00:00+00:00,2026-07-06T03:30:00+00:00
c375850268f7ce,full,base,153,0.6013071895424836,0.9709915075937944,-0.000145679492417486,-0.03437411685104763,-0.15002150273076642,140,0.6,2359,0.03560830860534125,110,0.6181818181818182,69,0.5217391304347826,2020-01-27T12:00:00+00:00,2026-07-12T07:00:00+00:00
