candidate_id,period,entry_time,net_return
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-06-24 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-06-25 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-06-26 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-06-27 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-06-28 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-06-29 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-06-30 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-07-01 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-07-02 00:00:00+00:00,0.0009718921190401198
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-07-03 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-07-04 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-07-05 00:00:00+00:00,-0.0029340898774729215
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-07-06 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-07-07 00:00:00+00:00,0.0009296772256740316
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-07-08 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-07-09 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-07-10 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-07-11 00:00:00+00:00,-0.003188319940294136
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-07-12 00:00:00+00:00,0.0018374676398172707
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-07-13 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-07-14 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-07-15 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-07-16 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-07-17 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-07-18 00:00:00+00:00,7.038056767014861e-05
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-07-19 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-07-20 00:00:00+00:00,-0.002540485918233658
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-07-21 00:00:00+00:00,0.0
BTCUSDT_15m_RANGE_BB_RSI_LONG,daily,2020-07-22 00:00:00+00:00,0.0
