config_id,period,active_periods,positive_rate,mean_return,median_return,compounded_return,best_period,worst_period
0b968ce1afc0ce,weekly,13,0.6153846153846154,0.0013253054921465745,0.0012093902120509092,0.017022904757451496,0.011933778088573987,-0.009938645448517858
0b968ce1afc0ce,monthly,9,0.5555555555555556,0.0019234644343322966,0.0012093902120509092,0.017022904757451274,0.016014080610890602,-0.01524194707100801
1a1f5bbc187b50,daily,24,0.5,0.004925425476123749,0.0031579207521335584,0.12005495313916037,0.06842459567885673,-0.018415469175142585
1a1f5bbc187b50,weekly,21,0.47619047619047616,0.005641812064861912,-0.0005926843785509783,0.12005495313916059,0.06842459567885673,-0.018415469175142585
1a1f5bbc187b50,monthly,11,0.6363636363636364,0.010559274712613965,0.006908525882818095,0.12005495313916015,0.04874905547116848,-0.025004497612533316
a1ff42d28bc774,daily,26,0.5,0.0043126592617301765,0.0018339686400609678,0.1131944679645771,0.06842459567885673,-0.018415469175142585
a1ff42d28bc774,weekly,21,0.42857142857142855,0.005345342873528106,-0.00087842826441209,0.11319446796457733,0.06842459567885673,-0.018415469175142585
a1ff42d28bc774,monthly,11,0.6363636363636364,0.010010199601039639,0.00879056727544203,0.11319446796457755,0.04874905547116848,-0.025004497612533316
f7664446e0d2eb,daily,23,0.4782608695652174,0.004143757091819201,-0.0005944702291299508,0.09590935884990603,0.035362885743285055,-0.02080451112717585
f7664446e0d2eb,weekly,22,0.5,0.0043288296108959685,0.0053467069079333185,0.09590935884990603,0.035362885743285055,-0.02080451112717585
f7664446e0d2eb,monthly,10,0.6,0.00945534485673909,0.009378336755585082,0.0959093588499067,0.05673473920353067,-0.027652180692295802
40fd45e6811512,daily,23,0.4782608695652174,0.004143757091819201,-0.0005944702291299508,0.09590935884990603,0.035362885743285055,-0.02080451112717585
40fd45e6811512,weekly,22,0.5,0.0043288296108959685,0.0053467069079333185,0.09590935884990603,0.035362885743285055,-0.02080451112717585
40fd45e6811512,monthly,10,0.6,0.00945534485673909,0.009378336755585082,0.0959093588499067,0.05673473920353067,-0.027652180692295802
acc16d761593f7,daily,21,0.7142857142857143,0.00039334209555969793,0.003705098527664319,0.007611110228953111,0.007571315774261178,-0.02100497740552776
acc16d761593f7,weekly,19,0.6842105263157895,0.00043475247866705944,0.004379347592301297,0.007611110228953111,0.007571315774261178,-0.02100497740552776
acc16d761593f7,monthly,7,0.5714285714285714,0.001189675775096258,8.084836849420185e-05,0.007611110228953333,0.020791393015429982,-0.024122383062301966
0e3ea12803f021,daily,30,0.6333333333333333,0.0008410864471039744,0.003566695369285,0.02421781306523818,0.018524652464882108,-0.0160114529996066
0e3ea12803f021,weekly,22,0.5909090909090909,0.0011516582095421057,0.0031498401842874335,0.024217813065237515,0.034978977509331655,-0.0160114529996066
0e3ea12803f021,monthly,11,0.45454545454545453,0.0022982436106639666,-0.001747866386729191,0.024217813065237292,0.040007773292851656,-0.017577038436229153
