time,open,high,low,close,volume
2026-07-13 13:55:00,1939.5,1941.6,1938.5,1939.2,77
2026-07-13 14:00:00,1939.0,1939.0,1928.8,1932.0,194
2026-07-13 14:05:00,1932.3,1938.2,1931.8,1938.2,69
2026-07-13 14:10:00,1938.0,1942.8,1938.0,1939.0,128
2026-07-13 14:15:00,1938.1,1938.1,1928.0,1929.0,112
2026-07-13 14:20:00,1929.2,1936.6,1927.1,1935.7,69
2026-07-13 14:25:00,1935.7,1935.9,1935.0,1935.6,31
2026-07-13 14:45:00,1935.5,1935.5,1935.5,1935.5,61
2026-07-14 09:00:00,1935.6,1938.9,1935.6,1936.2,81
2026-07-14 09:05:00,1936.2,1936.5,1935.3,1936.2,56
2026-07-14 09:10:00,1936.8,1937.2,1933.6,1933.9,65
2026-07-14 09:15:00,1934.1,1936.9,1933.6,1935.4,103
2026-07-14 09:20:00,1936.2,1937.1,1935.4,1937.0,19
2026-07-14 09:25:00,1937.1,1938.0,1935.7,1935.7,83
2026-07-14 09:30:00,1935.6,1935.6,1934.4,1934.6,28
2026-07-14 09:35:00,1934.3,1935.0,1931.2,1931.4,154
2026-07-14 09:40:00,1931.6,1934.4,1931.6,1933.5,93
2026-07-14 09:45:00,1934.0,1935.0,1931.5,1931.6,160
2026-07-14 09:50:00,1932.5,1932.5,1929.3,1929.3,94
2026-07-14 09:55:00,1929.4,1929.8,1927.3,1927.3,103
2026-07-14 10:00:00,1927.7,1928.4,1925.1,1925.1,145
2026-07-14 10:05:00,1926.0,1926.1,1921.8,1922.2,279
2026-07-14 10:10:00,1922.0,1922.9,1918.5,1918.9,179
2026-07-14 10:15:00,1918.6,1919.0,1915.3,1917.8,183
2026-07-14 10:20:00,1917.1,1919.4,1916.0,1918.2,125
2026-07-14 10:25:00,1918.0,1924.0,1918.0,1922.0,334
2026-07-14 10:30:00,1921.8,1923.6,1920.7,1921.1,220
2026-07-14 10:35:00,1921.1,1921.1,1919.0,1920.0,147
2026-07-14 10:40:00,1920.0,1923.0,1919.2,1923.0,218
2026-07-14 10:45:00,1922.8,1925.3,1922.8,1923.3,162
2026-07-14 10:50:00,1922.9,1927.6,1922.4,1927.2,73
2026-07-14 10:55:00,1927.0,1927.0,1924.7,1925.4,40
2026-07-14 11:00:00,1925.4,1925.4,1923.0,1923.0,32
2026-07-14 11:05:00,1923.5,1924.1,1922.0,1922.5,41
2026-07-14 11:10:00,1921.9,1922.1,1920.5,1920.5,34
2026-07-14 11:15:00,1921.2,1923.1,1920.2,1923.0,59
2026-07-14 11:20:00,1923.0,1924.0,1922.2,1922.5,22
2026-07-14 11:25:00,1923.7,1925.0,1923.3,1925.0,32
2026-07-14 13:00:00,1925.1,1929.3,1923.2,1928.3,159
2026-07-14 13:05:00,1928.8,1932.1,1928.6,1932.0,144
2026-07-14 13:10:00,1932.0,1937.0,1931.0,1936.5,195
2026-07-14 13:15:00,1936.4,1937.1,1934.2,1937.1,93
2026-07-14 13:20:00,1936.5,1936.5,1933.4,1935.0,74
2026-07-14 13:25:00,1934.4,1936.0,1933.9,1936.0,43
2026-07-14 13:30:00,1936.2,1941.0,1935.4,1936.7,262
2026-07-14 13:35:00,1937.9,1940.8,1937.0,1938.1,86
2026-07-14 13:40:00,1938.0,1939.1,1936.2,1936.2,92
2026-07-14 13:45:00,1936.3,1936.9,1933.6,1933.9,133
2026-07-14 13:50:00,1933.9,1937.2,1932.9,1935.0,134
2026-07-14 13:55:00,1937.5,1938.0,1933.5,1934.3,97
2026-07-14 14:00:00,1934.0,1939.9,1933.2,1937.6,135
2026-07-14 14:05:00,1936.5,1937.3,1933.3,1934.0,50
2026-07-14 14:10:00,1934.2,1936.1,1934.0,1936.0,69
2026-07-14 14:15:00,1937.0,1940.0,1936.4,1938.8,188
2026-07-14 14:20:00,1939.9,1941.4,1938.0,1938.3,134
2026-07-14 14:25:00,1938.4,1940.4,1938.0,1940.0,67
2026-07-14 14:45:00,1940.2,1940.2,1940.2,1940.2,129
2026-07-15 09:00:00,1940.1,1941.1,1936.4,1937.9,306
2026-07-15 09:05:00,1937.5,1937.9,1936.3,1937.4,164
2026-07-15 09:10:00,1936.8,1938.8,1936.7,1937.8,154
2026-07-15 09:15:00,1937.5,1940.0,1934.2,1934.7,239
2026-07-15 09:20:00,1934.7,1935.9,1933.2,1935.2,176
2026-07-15 09:25:00,1935.8,1935.9,1933.0,1933.8,164
2026-07-15 09:30:00,1933.0,1935.7,1932.4,1934.6,194
2026-07-15 09:35:00,1935.0,1935.0,1933.0,1934.2,116
2026-07-15 09:40:00,1933.5,1933.5,1930.0,1930.9,187
2026-07-15 09:45:00,1930.6,1930.8,1926.0,1926.8,307
2026-07-15 09:50:00,1925.5,1928.7,1925.1,1927.9,220
2026-07-15 09:55:00,1927.1,1928.0,1925.3,1925.9,225
2026-07-15 10:00:00,1925.8,1929.0,1925.3,1929.0,145
2026-07-15 10:05:00,1928.5,1932.0,1926.8,1927.1,213
2026-07-15 10:10:00,1928.0,1928.0,1925.5,1925.7,208
2026-07-15 10:15:00,1925.7,1928.7,1925.2,1926.9,158
2026-07-15 10:20:00,1927.3,1928.4,1926.1,1928.0,143
2026-07-15 10:25:00,1927.5,1927.8,1920.0,1920.9,352
2026-07-15 10:30:00,1920.1,1925.5,1920.0,1925.0,352
2026-07-15 10:35:00,1924.7,1930.9,1923.8,1927.1,494
2026-07-15 10:40:00,1927.0,1927.1,1924.0,1924.0,324
2026-07-15 10:45:00,1925.0,1928.0,1925.0,1928.0,151
2026-07-15 10:50:00,1927.6,1928.4,1926.5,1927.3,238
2026-07-15 10:55:00,1927.7,1929.0,1927.3,1927.8,335
2026-07-15 11:00:00,1927.9,1928.0,1923.4,1925.0,555
2026-07-15 11:05:00,1925.2,1926.9,1925.0,1926.0,197
2026-07-15 11:10:00,1926.5,1927.0,1925.5,1926.8,262
2026-07-15 11:15:00,1925.9,1927.4,1925.0,1927.1,205
2026-07-15 11:20:00,1927.5,1932.8,1927.3,1931.9,289
2026-07-15 11:25:00,1931.9,1931.9,1929.9,1930.1,98
2026-07-15 13:00:00,1930.1,1931.2,1928.4,1930.0,299
2026-07-15 13:05:00,1930.0,1930.7,1928.5,1929.8,171
2026-07-15 13:10:00,1928.8,1930.3,1926.1,1926.3,339
2026-07-15 13:15:00,1926.1,1926.7,1924.0,1925.4,521
2026-07-15 13:20:00,1926.0,1926.2,1924.1,1924.8,220
2026-07-15 13:25:00,1924.8,1926.0,1923.2,1924.5,465
2026-07-15 13:30:00,1924.3,1924.7,1922.1,1923.1,341
2026-07-15 13:35:00,1923.0,1927.9,1922.0,1927.2,219
2026-07-15 13:40:00,1926.3,1927.0,1922.0,1922.1,221
2026-07-15 13:45:00,1922.1,1924.9,1920.0,1922.9,247
2026-07-15 13:50:00,1923.0,1926.3,1922.7,1925.4,390
2026-07-15 13:55:00,1925.3,1925.6,1922.0,1923.2,211
2026-07-15 14:00:00,1923.1,1926.5,1922.5,1925.4,161
2026-07-15 14:05:00,1925.3,1928.3,1924.5,1928.3,237
2026-07-15 14:10:00,1927.9,1928.4,1924.3,1924.7,377
2026-07-15 14:15:00,1924.3,1924.5,1920.4,1920.5,657
2026-07-15 14:20:00,1920.5,1922.6,1917.0,1919.6,1041
2026-07-15 14:25:00,1919.5,1924.5,1919.5,1921.6,399
2026-07-15 14:45:00,1919.9,1919.9,1919.9,1919.9,463
2026-07-16 09:00:00,1919.9,1919.9,1914.1,1917.0,932
2026-07-16 09:05:00,1916.2,1917.0,1915.2,1916.3,176
2026-07-16 09:10:00,1916.2,1916.3,1915.5,1916.0,123
2026-07-16 09:15:00,1915.7,1919.9,1915.0,1919.8,600
2026-07-16 09:20:00,1919.7,1920.2,1917.2,1918.0,465
2026-07-16 09:25:00,1918.2,1921.8,1918.2,1919.9,423
2026-07-16 09:30:00,1919.9,1920.4,1919.4,1919.8,251
2026-07-16 09:35:00,1920.0,1925.0,1920.0,1925.0,587
2026-07-16 09:40:00,1925.1,1926.7,1924.0,1925.0,345
2026-07-16 09:45:00,1925.0,1926.0,1922.3,1923.5,363
2026-07-16 09:50:00,1923.5,1923.7,1920.5,1920.8,273
2026-07-16 09:55:00,1920.7,1922.6,1920.1,1921.2,358
2026-07-16 10:00:00,1921.1,1921.7,1920.0,1920.0,244
2026-07-16 10:05:00,1920.0,1920.4,1919.0,1919.5,194
2026-07-16 10:10:00,1919.4,1920.6,1918.1,1920.2,347
2026-07-16 10:15:00,1920.3,1921.8,1917.4,1918.3,310
2026-07-16 10:20:00,1917.7,1918.0,1915.6,1916.1,484
2026-07-16 10:25:00,1916.7,1917.0,1914.0,1916.2,474
2026-07-16 10:30:00,1916.8,1916.8,1914.8,1915.5,348
2026-07-16 10:35:00,1915.5,1916.0,1913.7,1913.7,362
2026-07-16 10:40:00,1914.0,1914.7,1911.5,1912.0,570
2026-07-16 10:45:00,1912.0,1914.0,1911.0,1912.0,296
2026-07-16 10:50:00,1912.0,1912.5,1908.2,1909.0,856
2026-07-16 10:55:00,1908.3,1910.0,1907.2,1909.0,597
2026-07-16 11:00:00,1908.8,1910.2,1907.3,1908.0,361
2026-07-16 11:05:00,1907.4,1908.8,1906.0,1906.8,535
2026-07-16 11:10:00,1905.9,1907.3,1904.7,1905.6,617
2026-07-16 11:15:00,1905.6,1909.5,1903.7,1908.6,746
2026-07-16 11:20:00,1908.6,1909.2,1905.0,1909.0,431
2026-07-16 11:25:00,1908.0,1909.5,1907.5,1908.8,220
2026-07-16 13:00:00,1908.0,1910.1,1907.1,1907.1,686
2026-07-16 13:05:00,1907.0,1908.8,1906.7,1908.0,210
2026-07-16 13:10:00,1908.0,1908.6,1906.2,1906.6,392
2026-07-16 13:15:00,1906.6,1906.8,1901.7,1903.0,1145
2026-07-16 13:20:00,1903.2,1903.2,1900.2,1901.0,1029
